"pos.1" "pos.2" "b.mod" "sep.dist" "pic_name"
9 20 6.6332495807108 8.24256854571587e-06 "plot_large_p_small_n_30_10_0_1_1.png"
10 1 15.3622914957372 0.772440884419683 "plot_large_p_small_n_30_10_0_1_1.png"
10 2 14.2126704035519 0.772465187143806 "plot_large_p_small_n_30_10_0_1_1.png"
10 3 14.422205101856 0.772370209799489 "plot_large_p_small_n_30_10_0_1_1.png"
10 4 15.3622914957372 0.772463779252601 "plot_large_p_small_n_30_10_0_1_1.png"
10 5 15.6204993518133 0.772453119277221 "plot_large_p_small_n_30_10_0_1_1.png"
10 6 14.142135623731 0.772460412155625 "plot_large_p_small_n_30_10_0_1_1.png"
10 7 15.9373774505092 0.772085192598713 "plot_large_p_small_n_30_10_0_1_1.png"
10 8 10.4880884817015 0.772465249963093 "plot_large_p_small_n_30_10_0_1_1.png"
10 9 14.2828568570857 0.772451409289518 "plot_large_p_small_n_30_10_0_1_1.png"
10 10 0 0 "plot_large_p_small_n_30_10_0_1_1.png"
10 11 15.7480157480236 0.77245503079181 "plot_large_p_small_n_30_10_0_1_1.png"
10 12 17.7200451466693 0.772465381772079 "plot_large_p_small_n_30_10_0_1_1.png"
10 13 14.2126704035519 0.772429205329332 "plot_large_p_small_n_30_10_0_1_1.png"
10 14 13.9283882771841 0.772440993111509 "plot_large_p_small_n_30_10_0_1_1.png"
10 15 15.4919333848297 0.772395426079195 "plot_large_p_small_n_30_10_0_1_1.png"
10 16 14.422205101856 0.772441568767305 "plot_large_p_small_n_30_10_0_1_1.png"
10 17 14.142135623731 0.772465024800147 "plot_large_p_small_n_30_10_0_1_1.png"
10 18 14.6287388383278 0.772317382042841 "plot_large_p_small_n_30_10_0_1_1.png"
10 19 14.3527000944073 0.772463495001699 "plot_large_p_small_n_30_10_0_1_1.png"
10 20 13.5646599662505 0.772459651858064 "plot_large_p_small_n_30_10_0_1_1.png"
11 1 4.47213595499958 1.41463721273703e-05 "plot_large_p_small_n_30_10_0_1_1.png"
11 2 6.16441400296898 1.01563519952331e-05 "plot_large_p_small_n_30_10_0_1_1.png"
11 3 2.44948974278318 8.48209923214144e-05 "plot_large_p_small_n_30_10_0_1_1.png"
11 4 5.47722557505166 8.74846079116569e-06 "plot_large_p_small_n_30_10_0_1_1.png"
11 5 5.29150262212918 1.91151458960796e-06 "plot_large_p_small_n_30_10_0_1_1.png"
11 6 6.32455532033676 5.3813638146239e-06 "plot_large_p_small_n_30_10_0_1_1.png"
11 7 6 0.000369838193097258 "plot_large_p_small_n_30_10_0_1_1.png"
11 8 6.6332495807108 1.02191712827145e-05 "plot_large_p_small_n_30_10_0_1_1.png"
11 9 5.29150262212918 3.62150229201279e-06 "plot_large_p_small_n_30_10_0_1_1.png"
11 10 15.7480157480236 0.77245503079181 "plot_large_p_small_n_30_10_0_1_1.png"
11 11 0 0 "plot_large_p_small_n_30_10_0_1_1.png"
11 12 5.65685424949238 1.03509802692268e-05 "plot_large_p_small_n_30_10_0_1_1.png"
11 13 4 2.58254624781166e-05 "plot_large_p_small_n_30_10_0_1_1.png"
11 14 6.32455532033676 1.40376803007698e-05 "plot_large_p_small_n_30_10_0_1_1.png"
11 15 2.82842712474619 5.96047126148455e-05 "plot_large_p_small_n_30_10_0_1_1.png"
11 16 8.36660026534076 1.3462024505761e-05 "plot_large_p_small_n_30_10_0_1_1.png"
11 17 8 9.99400833668498e-06 "plot_large_p_small_n_30_10_0_1_1.png"
11 18 4 0.000137648748968986 "plot_large_p_small_n_30_10_0_1_1.png"
11 19 4 8.46420988897729e-06 "plot_large_p_small_n_30_10_0_1_1.png"
11 20 6.32455532033676 4.62106625370308e-06 "plot_large_p_small_n_30_10_0_1_1.png"
12 1 6 2.44973523965971e-05 "plot_large_p_small_n_30_10_0_1_1.png"
12 2 7.74596669241483 1.9462827399364e-07 "plot_large_p_small_n_30_10_0_1_1.png"
12 3 5.09901951359278 9.51719725906411e-05 "plot_large_p_small_n_30_10_0_1_1.png"
12 4 8.48528137423857 1.60251947806107e-06 "plot_large_p_small_n_30_10_0_1_1.png"
12 5 6.78232998312527 1.22624948588347e-05 "plot_large_p_small_n_30_10_0_1_1.png"
12 6 7.07106781186548 4.96961645460287e-06 "plot_large_p_small_n_30_10_0_1_1.png"
12 7 5.8309518948453 0.000380189173366485 "plot_large_p_small_n_30_10_0_1_1.png"
12 8 8.71779788708135 1.31808986512286e-07 "plot_large_p_small_n_30_10_0_1_1.png"
12 9 8.48528137423857 1.39724825612396e-05 "plot_large_p_small_n_30_10_0_1_1.png"
12 10 17.7200451466693 0.772465381772079 "plot_large_p_small_n_30_10_0_1_1.png"
12 11 5.65685424949238 1.03509802692268e-05 "plot_large_p_small_n_30_10_0_1_1.png"
12 12 0 0 "plot_large_p_small_n_30_10_0_1_1.png"
12 13 6.16441400296898 3.61764427473433e-05 "plot_large_p_small_n_30_10_0_1_1.png"
12 14 6.16441400296898 2.43886605699966e-05 "plot_large_p_small_n_30_10_0_1_1.png"
12 15 5.29150262212918 6.99556928840723e-05 "plot_large_p_small_n_30_10_0_1_1.png"
12 16 7.61577310586391 2.38130047749878e-05 "plot_large_p_small_n_30_10_0_1_1.png"
12 17 10.4880884817015 3.56971932541783e-07 "plot_large_p_small_n_30_10_0_1_1.png"
12 18 5.09901951359278 0.000147999729238213 "plot_large_p_small_n_30_10_0_1_1.png"
12 19 5.47722557505166 1.88677038024947e-06 "plot_large_p_small_n_30_10_0_1_1.png"
12 20 7.48331477354788 5.72991401552369e-06 "plot_large_p_small_n_30_10_0_1_1.png"
13 1 4.47213595499958 1.16790903507462e-05 "plot_large_p_small_n_30_10_0_1_1.png"
13 2 5.09901951359278 3.59818144733497e-05 "plot_large_p_small_n_30_10_0_1_1.png"
13 3 4 5.89955298432978e-05 "plot_large_p_small_n_30_10_0_1_1.png"
13 4 4.69041575982343 3.45739232692823e-05 "plot_large_p_small_n_30_10_0_1_1.png"
13 5 5.09901951359278 2.39139478885086e-05 "plot_large_p_small_n_30_10_0_1_1.png"
13 6 6.16441400296898 3.12068262927405e-05 "plot_large_p_small_n_30_10_0_1_1.png"
